ApName,Super Build／SS7,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,
工事名,（仮称）巨勢町賃貸マンション新築工事,,,,,,,,,,,,,,,,
略称,巨勢町賃貸マンション,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,
出力日時,2020/9/1 9:25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-2.3,-0.1,-2.3,-1.6,1.6,-0.9,0.9,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,65.3,-23.9,17.5,16.5,-16.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,87,-30.5,26.1,22.5,-22.5,0.1,-0.1,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-17.5,40.8,64.1,16.5,-16.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-26.1,57.9,89.7,22.5,-22.5,0.1,-0.1,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-3.7,2.3,0.9,-1.6,1.6,2.3,-2.3,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,69.1,-25,19.3,17.6,-17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,164.4,-60.1,44.4,41.5,-41.5,0.1,-0.1,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,-19.3,44.1,69,17.6,-17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,-44.4,103.1,161.9,41.5,-41.5,0.1,-0.1,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,3.7,-2.3,-0.9,1.6,-1.6,2.3,-2.3,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,134,-0.1,133.8,34.1,-34.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,167.7,-0.1,167.5,42.6,-42.6,-0.1,0.1,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,134.2,-0.1,134.1,34.1,-34.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,167.7,-0.1,167.6,42.6,-42.6,0.1,-0.1,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,134.5,-0.1,134.3,34.2,-34.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,167.7,-0.1,167.7,42.6,-42.6,-0.1,0.1,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,134.7,-0.1,134.6,34.3,-34.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,168.5,-0.1,168.5,42.9,-42.9,0.1,-0.1,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,69.3,-0.1,69.2,17.6,-17.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,166.7,-0.1,166.7,42.4,-42.4,-0.1,0.1,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,,,
,,,,,,,杭頭M,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=G+P,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,224.2,0,0,0,-0.0006,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,630.1,0,0,-0.00005,-0.00062,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,835.2,0,0,0,-0.00062,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,840,0,0,0,-0.00063,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,835.3,0,0,0.00001,-0.00063,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,844.6,0,0,-0.00003,-0.00062,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,513.3,0,0,0.00017,-0.00056,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,380.4,0,0,0,0.00048,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,701.9,0,0,-0.00004,0.00057,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,841.1,0,0,0,0.0006,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,849.1,0,0,0,0.00061,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,845.7,0,0,0.00001,0.00061,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,856.7,0,0,-0.00003,0.0006,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,521.1,0,0,0.00017,0.00055,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=S,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,3.8,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,11.8,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,16.7,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,17,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,17,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,16.7,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,8.5,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,7.7,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,13.3,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,17.3,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,17.5,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,17.5,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,17.2,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,8.9,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WX+,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,-14.1,0,0,-0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,-24.8,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,-18.5,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,-14.4,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,-15.3,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,-16.2,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,7.9,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,-45.3,0,0,-0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,-8.5,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,-23.6,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,-17.1,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,-17.5,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,-17.7,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,6.6,0,0,-0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WX-,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,4,0,0,0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,-3.9,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,-14,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,-15.4,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,-15.3,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,-21.8,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,-30.2,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,20.8,0,0,0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,-27.4,0,0,0,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,-14.4,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,-18.1,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,-18.4,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,-25.6,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,-33,0,0,0.00002,0,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WY+,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,-23.2,0,0,0,-0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,-50.4,0,0,0,-0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,-71.4,0,0,0,-0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,-71.2,0,0,0,-0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,-70.4,0,0,0,-0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,-69,0,0,0,-0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,-41.9,0,0,0,-0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,5.5,0,0,0,-0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,3.4,0,0,0,-0.00004,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,7.6,0,0,0,-0.00008,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,6.3,0,0,0,-0.00008,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,5.6,0,0,0,-0.00008,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,5.3,0,0,0,-0.00008,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,9.3,0,0,0,-0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WY-,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,14.5,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,B,上部,18.7,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,B,上部,26.8,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,B,上部,25.6,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,B,上部,24.9,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,B,上部,24.2,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,B,上部,19.7,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,1,D,上部,-22.6,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,2,D,上部,-43.1,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,3,D,上部,-58.6,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,4,D,上部,-58.1,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,5,D,上部,-57.2,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,6,D,上部,-56.2,0,0,0,0.00009,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
1FL,7,D,上部,-35.9,0,0,0,0.00005,,,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EX+,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,-48.8,0,0,-0.00009,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-58.2,0,0,-0.00009,0,<RE>,,,,,,,,
1FL,2,B,上部,-52.3,0,0,-0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,26.6,0,0,-0.00012,0,<RE>,,,,,,,,
1FL,3,B,上部,-2,0,0,-0.00016,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-0.6,0,0,-0.00016,0,<RE>,,,,,,,,
1FL,4,B,上部,2.9,0,0,-0.00012,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-1.7,0,0,-0.00014,0,<RE>,,,,,,,,
1FL,5,B,上部,-1.4,0,0,-0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,7.6,0,0,-0.00018,0,<RE>,,,,,,,,
1FL,6,B,上部,-9.6,0,0,-0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-28.9,0,0,-0.00007,0,<RE>,,,,,,,,
1FL,7,B,上部,110.9,0,0,-0.00011,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,55.2,0,0,-0.00042,0,<RE>,,,,,,,,
1FL,1,D,上部,-201.9,0,0,-0.0001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-60.5,0,0,-0.00007,0.00001,<RE>,,,,,,,,
1FL,2,D,上部,110.5,0,0,-0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,29.7,0,0,-0.00011,-0.00001,<RE>,,,,,,,,
1FL,3,D,上部,-17.3,0,0,-0.00016,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-1.7,0,0,-0.00016,0,<RE>,,,,,,,,
1FL,4,D,上部,2.9,0,0,-0.00012,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-1.4,0,0,-0.00014,0,<RE>,,,,,,,,
1FL,5,D,上部,0.1,0,0,-0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,7.5,0,0,-0.00018,0,<RE>,,,,,,,,
1FL,6,D,上部,-6.1,0,0,-0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-28.9,0,0,-0.00007,0,<RE>,,,,,,,,
1FL,7,D,上部,111.9,0,0,-0.00011,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,55.2,0,0,-0.00042,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EX-,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,48.8,0,0,0.00009,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,58.2,0,0,0.00009,0,<RE>,,,,,,,,
1FL,2,B,上部,52.3,0,0,0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-26.6,0,0,0.00012,0,<RE>,,,,,,,,
1FL,3,B,上部,2,0,0,0.00016,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,0.6,0,0,0.00016,0,<RE>,,,,,,,,
1FL,4,B,上部,-2.9,0,0,0.00012,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,1.7,0,0,0.00014,0,<RE>,,,,,,,,
1FL,5,B,上部,1.4,0,0,0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-7.6,0,0,0.00018,0,<RE>,,,,,,,,
1FL,6,B,上部,9.6,0,0,0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,28.9,0,0,0.00007,0,<RE>,,,,,,,,
1FL,7,B,上部,-110.9,0,0,0.00011,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-55.2,0,0,0.00042,0,<RE>,,,,,,,,
1FL,1,D,上部,201.9,0,0,0.0001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,60.5,0,0,0.00007,-0.00001,<RE>,,,,,,,,
1FL,2,D,上部,-110.5,0,0,0.00001,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-29.7,0,0,0.00011,0.00001,<RE>,,,,,,,,
1FL,3,D,上部,17.3,0,0,0.00016,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,1.7,0,0,0.00016,0,<RE>,,,,,,,,
1FL,4,D,上部,-2.9,0,0,0.00012,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,1.4,0,0,0.00014,0,<RE>,,,,,,,,
1FL,5,D,上部,-0.1,0,0,0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-7.5,0,0,0.00018,0,<RE>,,,,,,,,
1FL,6,D,上部,6.1,0,0,0.00013,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,28.9,0,0,0.00007,0,<RE>,,,,,,,,
1FL,7,D,上部,-111.9,0,0,0.00011,0,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-55.2,0,0,0.00042,0,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EY+,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,上部,-55.2,0,0,0,-0.00016,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-22.5,0,0,0,-0.0002,<RE>,,,,,,,,
1FL,2,B,上部,-96.7,0,0,0,-0.00014,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-41.5,0,0,0,-0.00034,<RE>,,,,,,,,
1FL,3,B,上部,-134.3,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-42.6,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,4,B,上部,-132.4,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-42.6,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,5,B,上部,-130.6,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-42.6,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,6,B,上部,-128.7,0,0,0,-0.00027,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-42.9,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,7,B,上部,-91.6,0,0,0,-0.00016,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,-42.4,0,0,0,-0.0004,<RE>,,,,,,,,
1FL,1,D,上部,54.4,0,0,0,-0.00015,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,22.7,0,0,0,-0.00022,<RE>,,,,,,,,
1FL,2,D,上部,97.7,0,0,0,-0.00014,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,41.2,0,0,0,-0.00032,<RE>,,,,,,,,
1FL,3,D,上部,134.3,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,42.8,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,4,D,上部,132.4,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,42.6,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,5,D,上部,130.6,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
,,,杭頭M,42.7,0,0,0,-0.00033,<RE>,,,,,,,,
1FL,6,D,上部,128.7,0,0,0,-0.00026,,,,,,,,,
,,,偏心,0,0,0,0,0,,,,,,,,,
